seq,site_seq,result,resptime,display,resulttext,cst,comid,version,uid,cdate,ctime,udate,utime,ddate,dtime
5603,74,FALSE,21235,,FAIL ./DefaultSuite.test.js (19.938s),,DOREIKU,1,TEST RUNNER,20220528,160133956,20220528,160133956,0,0
2503,64,TRUE,848,,,,DOREIKU,1,TEST RUNNER,20220506,200002599,20220506,200002599,0,0
2588,64,TRUE,864,,,,DOREIKU,1,TEST RUNNER,20220507,130002581,20220507,130002581,0,0
2672,65,FALSE,3153,,Connect to www.yoooon.com:443 [www.yoooon.com/35.170.247.142] failed: connect timed out,,DOREIKU,1,TEST RUNNER,20220508,50008894,20220508,50008894,0,0
2756,54,TRUE,335,,,,DOREIKU,1,TEST RUNNER,20220508,220005974,20220508,220005974,0,0
2840,52,TRUE,169,,,,DOREIKU,1,TEST RUNNER,20220509,150005448,20220509,150005448,0,0
2924,56,TRUE,2556,,,,DOREIKU,1,TEST RUNNER,20220510,80005058,20220510,80005058,0,0
3008,64,TRUE,819,,,,DOREIKU,1,TEST RUNNER,20220511,10002581,20220511,10002581,0,0
3091,54,TRUE,393,,,,DOREIKU,1,TEST RUNNER,20220511,170006372,20220511,170006372,0,0
3174,56,TRUE,2885,,,,DOREIKU,1,TEST RUNNER,20220512,100005834,20220512,100005834,0,0
3257,51,TRUE,333,,,,DOREIKU,1,TEST RUNNER,20220513,20008634,20220513,20008634,0,0
3340,65,FALSE,3153,,Connect to www.yoooon.com:443 [www.yoooon.com/35.170.247.142] failed: connect timed out,,DOREIKU,1,TEST RUNNER,20220513,190008389,20220513,190008389,0,0
3423,64,TRUE,830,,,,DOREIKU,1,TEST RUNNER,20220514,120003046,20220514,120003046,0,0
3506,63,TRUE,211,,,,DOREIKU,1,TEST RUNNER,20220515,40009117,20220515,40009117,0,0
3589,56,TRUE,2765,,,,DOREIKU,1,TEST RUNNER,20220515,210005371,20220515,210005371,0,0
3672,51,TRUE,571,,,,DOREIKU,1,TEST RUNNER,20220516,130008893,20220516,130008893,0,0
3755,65,FALSE,3120,,Connect to www.yoooon.com:443 [www.yoooon.com/35.170.247.142] failed: connect timed out,,DOREIKU,1,TEST RUNNER,20220517,60008442,20220517,60008442,0,0
3838,64,TRUE,734,,,,DOREIKU,1,TEST RUNNER,20220517,230002325,20220517,230002325,0,0
3921,63,TRUE,174,,,,DOREIKU,1,TEST RUNNER,20220518,150008208,20220518,150008208,0,0
4004,56,TRUE,2674,,,,DOREIKU,1,TEST RUNNER,20220519,80005060,20220519,80005060,0,0
4087,51,TRUE,329,,,,DOREIKU,1,TEST RUNNER,20220520,9431,20220520,9431,0,0
4170,65,FALSE,3155,,Connect to www.yoooon.com:443 [www.yoooon.com/35.170.247.142] failed: connect timed out,,DOREIKU,1,TEST RUNNER,20220520,170008852,20220520,170008852,0,0
4253,64,TRUE,699,,,,DOREIKU,1,TEST RUNNER,20220521,100002207,20220521,100002207,0,0
4336,63,TRUE,124,,,,DOREIKU,1,TEST RUNNER,20220522,20008661,20220522,20008661,0,0
4419,56,TRUE,2721,,,,DOREIKU,1,TEST RUNNER,20220522,190005520,20220522,190005520,0,0
4502,51,TRUE,366,,,,DOREIKU,1,TEST RUNNER,20220523,110009266,20220523,110009266,0,0
4585,64,TRUE,784,,,,DOREIKU,1,TEST RUNNER,20220524,60002862,20220524,60002862,0,0
4668,56,TRUE,2821,,,,DOREIKU,1,TEST RUNNER,20220525,80004416,20220525,80004416,0,0
4834,69,FALSE,79,,www.nam123e.com: Name or service not known,,DOREIKU,1,TEST RUNNER,20220526,70029703,20220526,70029703,0,0
4917,66,TRUE,127,,,,DOREIKU,1,TEST RUNNER,20220526,140028982,20220526,140028982,0,0
5000,56,TRUE,2568,,,,DOREIKU,1,TEST RUNNER,20220526,210029156,20220526,210029156,0,0
5083,66,TRUE,170,,,,DOREIKU,1,TEST RUNNER,20220527,30050400,20220527,30050400,0,0
5166,56,TRUE,2716,,,,DOREIKU,1,TEST RUNNER,20220527,90050941,20220527,90050941,0,0
5410,67,TRUE,348,,,,DOREIKU,1,TEST RUNNER,20220528,20139638,20220528,20139638,0,0
5483,68,TRUE,810,,,,DOREIKU,1,TEST RUNNER,20220528,80002614,20220528,80002614,0,0
5547,74,FALSE,22188,,FAIL ./DefaultSuite.test.js (20.962s),,DOREIKU,1,TEST RUNNER,20220528,120134615,20220528,120134615,0,0
5633,51,TRUE,239,,,,DOREIKU,1,TEST RUNNER,20220528,180136825,20220528,180136825,0,0
2334,56,TRUE,2654,,,,DOREIKU,1,TEST RUNNER,20220505,100005209,20220505,100005209,0,0
2419,56,TRUE,2691,,,,DOREIKU,1,TEST RUNNER,20220506,30005630,20220506,30005630,0,0
2504,56,TRUE,2593,,,,DOREIKU,1,TEST RUNNER,20220506,200005200,20220506,200005200,0,0
2589,56,TRUE,2580,,,,DOREIKU,1,TEST RUNNER,20220507,130005170,20220507,130005170,0,0
2673,64,TRUE,852,,,,DOREIKU,1,TEST RUNNER,20220508,60002212,20220508,60002212,0,0
2757,65,FALSE,3161,,Connect to www.yoooon.com:443 [www.yoooon.com/35.170.247.142] failed: connect timed out,,DOREIKU,1,TEST RUNNER,20220508,220009138,20220508,220009138,0,0
2841,54,TRUE,618,,,,DOREIKU,1,TEST RUNNER,20220509,150006069,20220509,150006069,0,0
2925,52,TRUE,177,,,,DOREIKU,1,TEST RUNNER,20220510,80005242,20220510,80005242,0,0
3009,56,TRUE,3082,,,,DOREIKU,1,TEST RUNNER,20220511,10005673,20220511,10005673,0,0
3092,65,FALSE,3123,,Connect to www.yoooon.com:443 [www.yoooon.com/35.170.247.142] failed: connect timed out,,DOREIKU,1,TEST RUNNER,20220511,170009498,20220511,170009498,0,0
3175,65,FALSE,3152,,Connect to www.yoooon.com:443 [www.yoooon.com/35.170.247.142] failed: connect timed out,,DOREIKU,1,TEST RUNNER,20220512,100008992,20220512,100008992,0,0
3258,64,TRUE,823,,,,DOREIKU,1,TEST RUNNER,20220513,30002915,20220513,30002915,0,0
3341,63,TRUE,149,,,,DOREIKU,1,TEST RUNNER,20220513,190008542,20220513,190008542,0,0
3424,56,TRUE,2739,,,,DOREIKU,1,TEST RUNNER,20220514,120005795,20220514,120005795,0,0
3507,51,TRUE,636,,,,DOREIKU,1,TEST RUNNER,20220515,40009757,20220515,40009757,0,0
3590,65,FALSE,3155,,Connect to www.yoooon.com:443 [www.yoooon.com/35.170.247.142] failed: connect timed out,,DOREIKU,1,TEST RUNNER,20220515,210008529,20220515,210008529,0,0
3673,64,TRUE,659,,,,DOREIKU,1,TEST RUNNER,20220516,140001996,20220516,140001996,0,0
3756,63,TRUE,213,,,,DOREIKU,1,TEST RUNNER,20220517,60008658,20220517,60008658,0,0
3839,56,TRUE,2568,,,,DOREIKU,1,TEST RUNNER,20220517,230004903,20220517,230004903,0,0
3922,51,TRUE,334,,,,DOREIKU,1,TEST RUNNER,20220518,150008545,20220518,150008545,0,0
4005,65,FALSE,3050,,Connect to www.yoooon.com:443 [www.yoooon.com/35.170.247.142] failed: connect timed out,,DOREIKU,1,TEST RUNNER,20220519,80008114,20220519,80008114,0,0
4088,64,TRUE,740,,,,DOREIKU,1,TEST RUNNER,20220520,10002247,20220520,10002247,0,0
4171,63,TRUE,344,,,,DOREIKU,1,TEST RUNNER,20220520,170009201,20220520,170009201,0,0
4254,56,TRUE,2771,,,,DOREIKU,1,TEST RUNNER,20220521,100004987,20220521,100004987,0,0
4337,51,TRUE,327,,,,DOREIKU,1,TEST RUNNER,20220522,20008991,20220522,20008991,0,0
4420,65,FALSE,3122,,Connect to www.yoooon.com:443 [www.yoooon.com/35.170.247.142] failed: connect timed out,,DOREIKU,1,TEST RUNNER,20220522,190008646,20220522,190008646,0,0
4503,64,TRUE,831,,,,DOREIKU,1,TEST RUNNER,20220523,120002562,20220523,120002562,0,0
